	PTS system, glucose-specific II component	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Cytochrome c oxidase	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	3-Hydroxypropionate bi-cycle	Citrate cycle (TCA cycle, Krebs cycle)	Reductive citrate cycle (Arnon-Buchanan cycle)	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Hydroxypropionate-hydroxybutylate cycle	Cytochrome c oxidase, cbb3-type	Cytochrome o ubiquinol oxidase	Glycolysis, core module involving three-carbon compounds	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	F-type ATPase, eukaryotes	Dissimilatory nitrate reduction, nitrate => ammonia	Gluconeogenesis, oxaloacetate => fructose-6P	Fumarate reductase, prokaryotes	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	Methane oxidation, methanotroph, methane => formaldehyde	PRPP biosynthesis, ribose 5P => PRPP	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	NADH:quinone oxidoreductase, prokaryotes	2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	F420 biosynthesis	Formaldehyde assimilation, xylulose monophosphate pathway	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	Cytochrome bc1 complex respiratory unit	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Succinate dehydrogenase, prokaryotes	Pyruvate oxidation, pyruvate => acetyl-CoA	Sulfate transport system	F-type ATPase, prokaryotes and chloroplasts	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	Methanogenesis, acetate => methane	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	V-type ATPase, eukaryotes	Manganese/zinc/iron transport system	alpha-Hemolysin/cyclolysin transport system	Cytochrome bc1 complex	NADH:ubiquinone oxidoreductase, mitochondria	Formaldehyde assimilation, ribulose monophosphate pathway	Formaldehyde assimilation, serine pathway	Manganese/iron transport system	Iron/zinc/manganese/copper transport system	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Methanogenesis, methanol => methane	Methanogenesis, CO2 => methane	Nitrogen fixation, nitrogen => ammonia	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Coenzyme M biosynthesis	Succinate dehydrogenase (ubiquinone)	Cytochrome c oxidase, prokaryotes	Cytochrome aa3-600 menaquinol oxidase	Dissimilatory sulfate reduction, sulfate => H2S	Methylaspartate cycle	Nitrification, ammonia => nitrite	PTS system, maltose/glucose-specific II component	Denitrification, nitrate => nitrogen	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Nitrate/nitrite transport system	Cytochrome bd ubiquinol oxidase	V/A-type ATPase, prokaryotes	Assimilatory nitrate reduction, nitrate => ammonia	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	Iron complex transport system	Dicarboxylate-hydroxybutyrate cycle	Complete nitrification, comammox, ammonia => nitrite => nitrate	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	Energy-coupling factor transport system	Acetyl-CoA pathway, CO2 => acetyl-CoA	PTS system, beta-glucoside (arbutin/salicin/cellobiose)-specific II component	Multidrug/hemolysin transport system	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
Aquificales_14b	0.0	0.6	0.0	0.0	0.0	0.12962962962962965	0.5416666666666666	0.4166666666666667	0.3333333333333333	0.375	0.0	0.07142857142857142	0.0	0.0	0.8333333333333334	0.09090909090909091	0.0	0.4	0.75	0.0	0.0	0.0	1.0	0.0	0.5888888888888889	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.5	0.5555555555555556	0.0	0.0	0.42857142857142855	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.18181818181818182	0.0	0.0	0.2421875	0.0	0.6666666666666666	0.0	0.25	0.8	0.0	0.0	0.3333333333333333	1.0	0.46153846153846156	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.2222222222222222
Aquificales_21	0.0	0.7	0.0	0.0	0.0	0.19444444444444445	0.75	0.7916666666666666	0.6666666666666666	0.625	0.0	0.0	0.0	0.0	0.8333333333333334	0.0	0.0	0.375	0.875	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.8571428571428571	1.0	0.0	0.9473684210526315	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222222222222	0.0	0.0	0.7142857142857143	0.0	0.0	0.0	0.4	0.125	0.0	0.0	0.0	0.0	0.2727272727272727	0.0	0.0	0.1875	0.0	0.8	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.3076923076923077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111
Thermoprotei_23	0.0	0.6	0.0	0.0	0.0	0.027777777777777776	0.4166666666666667	0.25	0.6666666666666666	0.375	0.0	0.07142857142857142	0.0	0.0	0.8333333333333334	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.125	0.0	0.0	1.0	0.0	0.0	0.0	0.25	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.5	0.4444444444444444	0.0	0.0	0.21428571428571427	0.16666666666666666	0.0625	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.18181818181818182	0.0	0.0	0.0	0.0	0.26666666666666666	0.0	0.0	0.7307692307692307	0.0	0.0	0.3333333333333333	1.0	0.3076923076923077	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.3333333333333333
Thermoprotei_20	0.0	0.6	0.0	0.0	0.0	0.027777777777777776	0.4166666666666667	0.3333333333333333	0.6666666666666666	0.375	0.0	0.09523809523809523	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.625	0.0	0.0	0.0	1.0	0.0	0.007407407407407408	0.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.25	0.4444444444444444	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.18181818181818182	0.0	0.0	0.0	0.0	0.26666666666666666	0.0	0.0	0.9411764705882353	0.0	0.0	0.3333333333333333	1.0	0.38461538461538464	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.3333333333333333
Methanococci_7	0.0	0.7	0.0	0.0	0.0	0.0	0.5	0.5833333333333334	0.0	0.625	0.0	0.07142857142857142	0.0	0.0	0.8333333333333334	0.0	0.0	0.0	0.75	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.5	0.09523809523809523	0.0	1.0	0.0	0.0	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.5	0.2222222222222222	0.0	0.0	0.9642857142857143	0.6666666666666666	1.0	0.3333333333333333	0.2	0.25	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.8	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.46153846153846156	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.4444444444444444
Thermococci_4	0.0	0.9	0.0	0.0	0.0	0.2222222222222222	0.125	0.3333333333333333	0.0	0.25	0.0	0.21428571428571427	0.0	0.0	0.8333333333333334	0.0	0.0	0.0	0.875	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.14285714285714285	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.25	0.4444444444444444	0.0	0.0	0.31428571428571433	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.2	0.0	0.0	1.0	0.0	0.0	0.3333333333333333	1.0	0.3076923076923077	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.4444444444444444
Sulfurovum_31	0.0	0.5	0.0	0.0	1.0	0.16666666666666666	0.75	0.625	0.6666666666666666	0.625	0.0	0.0	1.0	0.0	0.5	0.0	0.0	0.5	0.625	0.09090909090909091	0.0	0.0	1.0	0.0	0.9629629629629629	0.0	0.0	0.5	0.0	1.0	0.0	0.14285714285714285	0.9545454545454546	1.0	0.0	0.021739130434782608	0.0	0.16666666666666666	0.0	1.0	0.0	0.0	0.01639344262295082	0.2222222222222222	0.0	0.25	0.2222222222222222	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.09090909090909091	0.0	0.8666666666666667	0.25	0.0	0.8	0.0	0.0	0.0	0.5	0.0	0.0	1.0	0.3076923076923077	0.0	0.0	0.0	0.0	0.8666666666666667	0.0	0.0	0.2222222222222222
Nanoarchaeales_43	0.0	0.2	0.0	0.0	0.0	0.0	0.125	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222222222222
Sphingomonadales_2	0.0	0.8	0.5	0.0	0.3333333333333333	0.3888888888888889	1.0	0.6666666666666666	1.0	0.625	0.3333333333333333	0.14285714285714285	1.0	1.0	1.0	0.0	0.0	0.5	0.875	0.0	0.0	0.0	1.0	0.8	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.2857142857142857	1.0	0.6666666666666666	0.0	1.0	0.8	0.3333333333333333	0.0	0.75	0.0	0.0	0.015384615384615385	0.2222222222222222	0.0	0.0	0.4444444444444444	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.8	0.0	0.03571428571428571	1.0	0.0	0.16666666666666666	0.36363636363636365	0.0	0.0	0.0	0.5	1.0	0.0	0.5	0.0	0.5	0.0	0.0	1.0	0.46153846153846156	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.4444444444444444
Alteromonadales_3b	0.0	0.8	0.5	0.0	0.0	0.2685185185185185	0.8541666666666666	0.5833333333333334	1.0	0.75	0.3333333333333333	0.07142857142857142	1.0	0.0	0.8333333333333334	0.0	0.0	0.5	0.75	0.0	0.0	0.0	1.0	0.2	0.0	0.0	0.0	0.25	0.3333333333333333	1.0	0.0	0.14285714285714285	0.0967741935483871	0.6666666666666666	0.0	1.0	0.2	0.3333333333333333	0.0	1.0	0.0	0.0	0.014925373134328358	0.2222222222222222	0.0	0.25	0.3333333333333333	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.4	0.0	0.0	1.0	0.0	0.3333333333333333	0.2727272727272727	0.0	0.9047619047619048	0.0	0.5	0.7666666666666667	0.0	0.5	0.0	0.5	0.0	0.0	0.047619047619047616	0.46153846153846156	0.0	0.0	0.0	0.0	0.9047619047619048	0.0	1.0	0.3333333333333333
