MAG	PTS system, glucose-specific II component	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Cytochrome c oxidase	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	3-Hydroxypropionate bi-cycle	Citrate cycle (TCA cycle, Krebs cycle)	Reductive citrate cycle (Arnon-Buchanan cycle)	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Hydroxypropionate-hydroxybutylate cycle	Cytochrome c oxidase, cbb3-type	Cytochrome o ubiquinol oxidase	Glycolysis, core module involving three-carbon compounds	F-type ATPase, eukaryotes	Dissimilatory nitrate reduction, nitrate => ammonia	Gluconeogenesis, oxaloacetate => fructose-6P	Fumarate reductase, prokaryotes	Methane oxidation, methanotroph, methane => formaldehyde	PRPP biosynthesis, ribose 5P => PRPP	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	NADH:quinone oxidoreductase, prokaryotes	2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	F420 biosynthesis	Formaldehyde assimilation, xylulose monophosphate pathway	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	Cytochrome bc1 complex respiratory unit	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Pyruvate oxidation, pyruvate => acetyl-CoA	Sulfate transport system	F-type ATPase, prokaryotes and chloroplasts	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	Methanogenesis, acetate => methane	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	V-type ATPase, eukaryotes	Manganese/zinc/iron transport system	alpha-Hemolysin/cyclolysin transport system	Cytochrome bc1 complex	Formaldehyde assimilation, ribulose monophosphate pathway	Formaldehyde assimilation, serine pathway	Manganese/iron transport system	Iron/zinc/manganese/copper transport system	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Methanogenesis, methanol => methane	Methanogenesis, CO2 => methane	Nitrogen fixation, nitrogen => ammonia	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Coenzyme M biosynthesis	Succinate dehydrogenase (ubiquinone)	Cytochrome c oxidase, prokaryotes	Dissimilatory sulfate reduction, sulfate => H2S	Methylaspartate cycle	Nitrification, ammonia => nitrite	PTS system, maltose/glucose-specific II component	Denitrification, nitrate => nitrogen	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Nitrate/nitrite transport system	Cytochrome bd ubiquinol oxidase	V/A-type ATPase, prokaryotes	Assimilatory nitrate reduction, nitrate => ammonia	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	Iron complex transport system	Dicarboxylate-hydroxybutyrate cycle	Complete nitrification, comammox, ammonia => nitrite => nitrate	Energy-coupling factor transport system	Acetyl-CoA pathway, CO2 => acetyl-CoA	PTS system, beta-glucoside (arbutin/salicin/cellobiose)-specific II component	Multidrug/hemolysin transport system	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
Aquificales_14	0.0	0.9	0.0	0.0	1.0	0.14814814814814814	0.7083333333333334	0.9166666666666666	0.6666666666666666	0.625	0.0	0.0	0.0	0.0	0.8333333333333334	0.0	0.75	0.875	0.25	0.0	1.0	0.0	1.0	0.0	0.0	0.25	0.0	1.0	0.25	0.2857142857142857	1.0	0.0	1.0	0.0	0.3333333333333333	1.0	0.0	0.0	0.0	0.2222222222222222	0.5	0.3333333333333333	0.0	0.0	0.7142857142857143	0.3333333333333333	0.125	0.0	0.4	0.0	0.0	0.997737556561086	0.0	0.2727272727272727	0.0	0.0	0.5	0.0	0.7333333333333333	0.0	0.5	0.3	0.0	0.0	1.0	0.4230769230769231	0.0	0.5	0.0	0.0	0.0	0.0	0.2222222222222222
Flavobacteriales_7	0.0	0.8	0.0	0.0	0.0	0.3425925925925926	0.5833333333333333	0.375	0.6666666666666666	0.5	0.0	0.14285714285714285	0.6666666666666666	0.0	0.8333333333333334	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.14285714285714285	1.0	0.0	0.008547008547008548	0.0	0.16666666666666666	0.75	0.0	0.0	0.0	0.0	0.5	0.2222222222222222	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.4	0.0	0.0	1.0	0.0	0.2727272727272727	0.0	0.0	0.0	0.0	0.5333333333333334	0.0	0.0	0.0	0.0	0.0	0.4	0.19230769230769232	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333
Desulfobacterales_29	0.0	0.6	0.0	0.0	0.0	0.1388888888888889	0.9375	0.7916666666666666	1.0	0.75	0.3333333333333333	0.07142857142857142	0.0	0.0	0.5	0.0	0.625	0.625	0.0	0.0	1.0	0.2	0.9259259259259259	0.0	0.0	0.25	0.3333333333333333	0.25	0.21875	0.8095238095238095	1.0	0.0	0.016597510373443983	0.2	0.3680555555555555	1.0	0.0	0.0	0.004347826086956522	0.09999999999999999	0.5	0.2222222222222222	0.0	0.0	0.2857142857142857	0.2916666666666667	0.109375	0.0	0.4	0.0	0.0	0.0	0.6666666666666666	0.36363636363636365	0.0	0.0	0.1875	0.75	0.9	0.0	0.5	0.0	0.0	0.3333333333333333	1.0	0.4230769230769231	0.0	0.0	0.125	0.0	0.0	0.0	0.4444444444444444
Other Campylobacterales_12	0.0	0.9	0.0	0.0	1.0	0.2777777777777778	1.0	0.75	1.0	0.625	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.07692307692307693	0.0	1.0	0.0	0.9629629629629629	0.0	0.0	0.5	0.0	1.0	0.0	0.14285714285714285	1.0	0.0	1.0	0.0	0.16666666666666666	1.0	0.0	0.0	0.0	0.2222222222222222	0.5	0.4444444444444444	0.0	0.0	0.6	0.0	0.0	0.0	0.4	0.0	0.0	0.75	0.3333333333333333	0.2727272727272727	0.0	0.0	0.25	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.3076923076923077	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333
Sulfurovum_37	0.8181818181818182	0.7	0.0	0.0	1.0	0.16666666666666666	0.6875	0.5416666666666666	0.6666666666666666	0.625	0.0	0.0	0.0	0.0	0.8333333333333334	0.0	0.5	1.0	0.0625	0.0	1.0	0.0	0.9259259259259259	0.0	0.0	0.5	0.0	1.0	0.0	0.14285714285714285	1.0	0.0	1.0	0.0	0.16666666666666666	1.0	0.0	0.0	0.004273504273504274	0.2222222222222222	0.25	0.4444444444444444	0.0	0.0	0.5285714285714286	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.3333333333333333	0.2727272727272727	0.0	0.8181818181818182	0.875	0.0	0.7	0.0	0.0	0.0	0.0	0.0	1.0	0.34615384615384615	0.0	0.0	0.0	0.8181818181818182	0.0	0.0	0.3333333333333333
Archaeoglobi_26	0.0	0.5	0.0	0.0	0.0	0.0	0.25	0.4166666666666667	0.3333333333333333	0.25	0.0	0.07142857142857142	0.0	0.0	0.5	0.0	0.0	0.5	0.0	0.0	1.0	0.0	0.7777777777777777	0.0	1.0	0.0	1.0	0.0	0.25	0.09523809523809523	1.0	0.0	0.0	0.0	0.5	0.25	0.0	0.0	0.0	0.0	0.5	0.5555555555555556	0.0	0.0	0.2857142857142857	0.3333333333333333	0.75	0.0	0.0	0.0	0.0	1.0	1.0	0.18181818181818182	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.9	0.0	0.3333333333333333	0.8461538461538461	0.38461538461538464	0.0	0.0	0.75	0.0	0.0	0.0	0.2222222222222222
Nautiliales_88	0.0	0.8	0.0	0.0	0.0	0.2222222222222222	0.875	0.8333333333333334	0.6666666666666666	0.625	0.0	0.0	0.0	0.0	1.0	0.0	0.5	1.0	0.0	0.0	1.0	0.0	0.9259259259259259	0.0	0.0	0.5	0.0	0.0	0.0	0.14285714285714285	1.0	0.0	1.0	0.0	0.16666666666666666	1.0	0.0	0.0	0.0	0.0	0.25	0.4444444444444444	0.0	0.0	0.7142857142857143	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.3333333333333333	0.18181818181818182	0.0	0.0	0.25	0.0	1.0	0.0	0.5	0.0	0.0	0.0	1.0	0.46153846153846156	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222222222222
Other Campylobacterales_101	0.0	0.8	0.0	0.0	1.0	0.2777777777777778	1.0	0.75	1.0	0.625	0.0	0.0	1.0	0.0	0.8333333333333334	0.0	0.125	1.0	0.04	0.0	1.0	0.0	0.9629629629629629	0.0	0.0	0.5	0.0	1.0	0.0	0.14285714285714285	1.0	0.0	1.0	0.0	0.16666666666666666	1.0	0.0	0.0	0.0	0.2222222222222222	0.5	0.4444444444444444	0.0	0.0	0.6	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.3333333333333333	0.2727272727272727	0.0	0.0	0.3125	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.3076923076923077	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333
Other Campylobacterales_2	0.0	0.7	0.0	0.0	1.0	0.2777777777777778	0.875	0.75	0.6666666666666666	0.5	0.0	0.0	1.0	0.0	0.8333333333333334	0.0	0.375	1.0	0.03571428571428571	0.0	1.0	0.0	0.9629629629629629	0.0	0.0	0.5	0.0	0.5	0.0	0.14285714285714285	0.0	0.0	1.0	0.0	0.16666666666666666	1.0	0.0	0.0	0.0	0.1111111111111111	0.5	0.4444444444444444	0.0	0.0	0.5714285714285714	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.3333333333333333	0.18181818181818182	0.0	0.0	0.1875	0.0	1.0	0.0	0.5	0.0	1.0	0.0	0.0	0.23076923076923078	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sulfurovum_99	0.9047619047619048	0.7	0.0	0.0	1.0	0.16666666666666666	0.6041666666666666	0.5416666666666666	0.3333333333333333	0.625	0.0	0.0	0.0	0.0	0.8333333333333334	0.0	0.5	1.0	0.967741935483871	0.0	1.0	0.0	0.9629629629629629	0.0	0.0	0.5	0.0	1.0	0.0	0.14285714285714285	1.0	0.0	1.0	0.0	0.16666666666666666	1.0	0.0	0.0	0.004098360655737705	0.2222222222222222	0.25	0.4444444444444444	0.0	0.0	0.5285714285714286	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.3333333333333333	0.18181818181818182	0.0	0.9047619047619048	0.875	0.0	0.7666666666666666	0.0	0.0	0.0	0.0	0.0	1.0	0.34615384615384615	0.0	0.0	0.0	0.9047619047619048	0.0	0.0	0.3333333333333333
