Module	Mean MCR (Shrimp Hole)	Mean MCR (all others)	p.value
PTS.system..glucose.specific.II.component	0.075642687	0.158879704	0.330423764
Glycolysis..Embden.Meyerhof.pathway...glucose....pyruvate	0.746153846	0.710638298	0.438821139
Cytochrome.c.oxidase	0.144230769	0.015957447	0.003212522
Semi.phosphorylative.Entner.Doudoroff.pathway..gluconate.galactonate....glycerate.3P	0.019230769	0.005319149	0.261749364
Thiosulfate.oxidation.by.SOX.complex..thiosulfate....sulfate	0.2	0.357446809	0.273124358
X3.Hydroxypropionate.bi.cycle	0.270299145	0.172379827	0.002286602
Citrate.cycle..TCA.cycle..Krebs.cycle.	0.725961538	0.67464539	0.236348172
Reductive.citrate.cycle..Arnon.Buchanan.cycle.	0.556891026	0.59751773	0.594410093
Citrate.cycle..first.carbon.oxidation..oxaloacetate....2.oxoglutarate	0.692307692	0.609929078	0.243374997
Pentose.phosphate.pathway..Pentose.phosphate.cycle.	0.519230769	0.494680851	0.577328256
Pentose.phosphate.pathway..oxidative.phase..glucose.6P....ribulose.5P	0.192307692	0.04964539	0.002508644
Hydroxypropionate.hydroxybutylate.cycle	0.107142857	0.053951368	0.005408925
Cytochrome.c.oxidase..cbb3.type	0.333333333	0.276595745	0.706122153
Cytochrome.o.ubiquinol.oxidase	0.269230769	0	0.000212137
Glycolysis..core.module.involving.three.carbon.compounds	0.826923077	0.776595745	0.118206921
F.type.ATPase..eukaryotes	0	0	NA
Dissimilatory.nitrate.reduction..nitrate....ammonia	0.290064103	0.234042553	0.555614729
Gluconeogenesis..oxaloacetate....fructose.6P	0.793269231	0.776595745	0.57894912
Fumarate.reductase..prokaryotes	0.038245462	0.073366286	0.009271011
Methane.oxidation..methanotroph..methane....formaldehyde	0	0	NA
PRPP.biosynthesis..ribose.5P....PRPP	0.807692308	0.872340426	0.468457096
D.Glucuronate.degradation..D.glucuronate....pyruvate...D.glyceraldehyde.3P	0.123076923	0.008510638	0.004418242
NADH.quinone.oxidoreductase..prokaryotes	0.614624881	0.673075913	0.773233065
X2.Oxocarboxylic.acid.chain.extension..2.oxoglutarate....2.oxoadipate....2.oxopimelate....2.oxosuberate	0.032051282	0.095744681	0.470021423
F420.biosynthesis	0.173076923	0.159574468	0.841950556
Formaldehyde.assimilation..xylulose.monophosphate.pathway	0.211538462	0.239361702	0.634592105
Pentose.phosphate.pathway..archaea..fructose.6P....ribose.5P	0.282051282	0.368794326	0.70222997
Cytochrome.bc1.complex.respiratory.unit	0.355769231	0.409574468	0.551080701
Methanogenesis..methylamine.dimethylamine.trimethylamine....methane	0.122435897	0.090824468	0.422838588
Reductive.acetyl.CoA.pathway..Wood.Ljungdahl.pathway.	0.305860806	0.172239108	0.009400307
Pyruvate.oxidation..pyruvate....acetyl.CoA	0.875	0.886524823	0.34838717
Sulfate.transport.system	0.153846154	0	0.006290666
F.type.ATPase..prokaryotes.and.chloroplasts	0.692232725	0.574541156	0.377651967
D.Galacturonate.degradation..bacteria...D.galacturonate....pyruvate...D.glyceraldehyde.3P	0.126923077	0.008510638	0.004159346
Methanogenesis..acetate....methane	0.35042735	0.250265957	0.007838104
Pentose.phosphate.pathway..non.oxidative.phase..fructose.6P....ribose.5P	0.701923077	0.739361702	0.901162928
V.type.ATPase..eukaryotes	0	0	NA
Manganese.zinc.iron.transport.system	0.076923077	0.000142796	0.247869218
alpha.Hemolysin.cyclolysin.transport.system	0.00115999	0.000798248	0.420099417
Cytochrome.bc1.complex	0.080769231	0.095744681	0.551080701
Formaldehyde.assimilation..ribulose.monophosphate.pathway	0.259615385	0.39893617	0.001548244
Formaldehyde.assimilation..serine.pathway	0.371794872	0.373522459	0.704395421
Manganese.iron.transport.system	0	0.000143761	0.474508972
Iron.zinc.manganese.copper.transport.system	0.000109266	0	0.188208278
