Vent Field	Vent Name	Sample Year	Sample number	Bin number	Taxonomic category	Phylosift taxonomy (class)	SNVs/kb	Allele Frequency	SAAVs/SNVs	Mean coverage	Normalized coverage	Total length of bin (bp)	Number of contigs	N50	GC Content	Percent Complete (anvi'o)	Percent redundancy (anvi'o)
Piccard	"Shrimp Gulley #2, BSM"	2012	FS856	Bin_14	Aquifica	Aquificales	8.37666906	0.765	0.325	82.01579302	7.258E-07	1661639	114	32490	36.06605889	92.08633094	4.316546763
Piccard	"Shrimp Gulley #2, BSM"	2012	FS856	Bin_7	Bacteroidetes	Flavobacteriales	10.8667962	0.822	0.265	184.3668634	1.487E-06	1315015	180	9045	28.3846101	74.82014388	6.474820144
Piccard	"Shrimp Gulley #2, BSM"	2012	FS856	Bin_29	Deltaproteobacteria	Desulfobacterales	1.243844673	0.734	0.332	17.96378678	2.068E-07	2641005	480	6265	43.2972778	78.41726619	3.597122302
Piccard	"Shrimp Gulley #2, BSM"	2012	FS856	Bin_12	Epsilonproteobacteria	Other Campylobacterales	20.735383	0.835	0.341	2441.164561	1.146E-06	3057672	432	9084	32.78502826	97.12230216	8.633093525
Piccard	"Shrimp Gulley #2, BSM"	2012	FS856	Bin_37	Epsilonproteobacteria	Sulfurovum	4.663326537	0.800	0.360	18.97093413	1.016E-05	1934456	168	17281	36.25070269	94.24460432	4.316546763
Piccard	"Shrimp Gulley #2, BSM"	2012	FS856	Bin_26	Euryarchaea	Archaeoglobi	13.93014351	0.804	0.215	120.2939559	8.468E-07	1117720	172	7754	32.58163637	82.71604938	3.703703704
Piccard	"X-19 at BV #4, BVM"	2012	FS854	Bin_88	Epsilonproteobacteria	Nautiliales	32.88401222	0.816	0.343	49.03815207	5.814E-07	985190	163	6815	26.9607928	89.92805755	2.158273381
Piccard	"X-19 at BV #4, BVM"	2012	FS854	Bin_101	Epsilonproteobacteria	Other Campylobacterales	19.75640152	0.848	0.342	56.45156107	1.307E-06	2199439	274	10441	35.19304287	93.52517986	1.438848921
Piccard	"X-19 at BV #4, BVM"	2012	FS854	Bin_2	Epsilonproteobacteria	Other Campylobacterales	6.285776687	0.696	0.362	9.400188575	1.273E-07	1419395	156	12374	34.32200986	92.8057554	1.438848921
Piccard	"X-19 at BV #4, BVM"	2012	FS854	Bin_99	Epsilonproteobacteria	Sulfurovum	3.995032538	0.784	0.390	75.35764466	1.730E-05	1870573	152	18565	35.75896561	92.08633094	2.158273381
Piccard	"X-19 at BV #4, BVM"	2012	FS854	Bin_7	Epsilonproteobacteria	Sulfurovum	5.061251103	0.678	0.275	17.01219184	1.345E-07	1625685	132	18714	39.35015843	90.64748201	5.755395683
Piccard	"X-19 at BV #4, BVM"	2012	FS854	Bin_9	Epsilonproteobacteria	Sulfurovum	13.84256993	0.795	0.265	21.14507058	8.527E-07	1826106	241	9032	38.66015472	75.53956835	4.316546763
Piccard	"X-19 at BV #4, BVM"	2012	FS854	Bin_8	Euryarchaea	Archaeoglobi	10.51281063	0.775	0.261	22.51876163	3.476E-07	1245528	161	8955	31.56679405	89.50617284	5.555555556
